Company,Market Cap (US$Billion),Country
Saudi Arabian Oil Company - Saudi Aramco ,1684.8,Saudi Arabia
Microsoft ,1359,United States
Apple ,1285.5,United States
Amazon ,1233.4,United States
Alphabet ,919.3,United States
Facebook ,583.7,United States
Alibaba ,545.4,China
Tencent Holdings ,509.7,China
Berkshire Hathaway ,455.4,United States
Johnson & Johnson ,395.3,United States
Visa ,383.9,United States
Walmart ,344.4,United States
Nestlé ,304.1,Switzerland
Roche Holding ,297.4,Switzerland
Procter & Gamble ,291.8,United States
JPMorgan Chase ,291.7,United States
Samsung Electronics ,278.7,South Korea
UnitedHealth Group ,277.1,United States
Mastercard ,276.1,United States
Taiwan Semiconductor ,265.5,Taiwan
Intel ,254,United States
ICBC ,242.3,China
Verizon Communications ,237.7,United States
Home Depot ,236.1,United States
Kweichow Moutai ,225.5,China
AT&T ,218.6,United States
Pfizer ,212.8,United States
Bank of America ,208.6,United States
China Construction Bank ,203.8,China
Merck & Co. ,200.3,United States
Coca-Cola ,197.1,United States
ExxonMobil ,196.6,United States
Walt Disney ,195.3,United States
LVMH Moet Hennessy Louis Vuitton ,194.3,France
Novartis ,193,Switzerland
Ping An Insurance Group ,187.2,China
Netflix ,184.7,United States
PepsiCo ,183.6,United States
Cisco Systems ,179.7,United States
NVIDIA ,179,United States
Toyota Motor ,173.3,Japan
Chevron ,171.8,United States
Comcast ,171.7,United States
Raiffeisen Bank International ,170.8,Austria
Adobe ,170.4,United States
Oracle ,167,United States
China Mobile ,164.9,Hong Kong
Abbott Laboratories ,162.9,United States
L'Oréal ,162.5,France
Eli Lilly ,148,United States
Agricultural Bank of China ,147.2,China
Novo Nordisk ,146.8,Denmark
Salesforce.com ,144.9,United States
PayPal ,144.3,United States
Tesla ,144.2,United States
SAP ,142.4,Germany
Amgen ,140.6,United States
McDonald's ,139.5,United States
AstraZeneca ,137.7,United Kingdom
Bristol-Myers Squibb ,137.6,United States
Nike ,135.6,United States
Costco Wholesale ,133.8,United States
Thermo Fisher Scientific ,132.2,United States
Medtronic ,130.8,Ireland
Unilever ,130.6,Netherlands
Royal Dutch Shell ,126.5,Netherlands
ASML Holding ,124.5,Netherlands
Reliance Industries ,123.8,India
Sanofi ,122.5,France
AbbVie ,121.4,United States
China Merchants Bank ,120.9,China
Wells Fargo ,118.8,United States
Accenture ,118,Ireland
Philip Morris International ,116.2,United States
Danaher ,113.9,United States
NextEra Energy ,113.1,United States
Bank of China ,112.8,China
AIA Group ,111.8,Hong Kong
IBM ,111.5,United States
Lockheed Martin ,109.1,United States
Broadcom ,108.6,United States
Union Pacific ,108.4,United States
BHP Group ,107.1,Australia
Texas Instruments ,106.5,United States
Gilead Sciences ,105.8,United States
American Tower ,105.5,United States
HSBC Holdings ,105.3,United Kingdom
GlaxoSmithKline ,104.4,United Kingdom
Charter Communications ,104,United States
Citigroup ,101.1,United States
Tata Consultancy Services ,100.7,India
Honeywell International ,100.4,United States
Linde ,96.6,United Kingdom
Total ,93.1,France
CSL ,92,Australia
Postal Savings Bank Of China - PSBC ,92,China
Anheuser-Busch InBev ,89.9,Belgium
Softbank ,89.7,Japan
Starbucks ,89.6,United States
British American Tobacco ,88.8,United Kingdom
